,name,pokedex_number,type1,type2,abilities,hp,atk,def,sp_atk,sp_def,speed,height(in),height(m),weight(lbs),weight(kg)
325,Growlithe,58,Fire,Unknown,"['Intimidate', 'Flash Fire', 'Justified']",55,70,45,70,50,60,"2'04""
","0.7 m
","41.9 lbs.
","19.0 kg
"
326,Grubbin,736,Bug,Unknown,['Swarm'],47,62,45,55,45,46,"1'04""
","0.4 m
","9.7 lbs.
","4.4 kg
"
327,Grumpig,326,Psychic,Unknown,"['Thick Fat', 'Own Tempo', 'Gluttony']",80,45,65,90,110,80,"2'11""
","0.9 m
","157.6 lbs.
","71.5 kg
"
328,Gulpin,316,Poison,Unknown,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",70,43,53,43,53,40,"1'04""
","0.4 m
","22.7 lbs.
","10.3 kg
"
329,Gumshoos,735,Normal,Unknown,"['Stakeout', 'Strong Jaw', 'Adaptability']",88,110,60,55,60,45,"2'04""
","0.7 m
","31.3 lbs.
","14.2 kg
"
330,Gurdurr,533,Fighting,Unknown,"['Guts', 'Sheer Force', 'Iron Fist']",85,105,85,40,50,40,"3'11""
","1.2 m
","88.2 lbs.
","40.0 kg
"
331,Guzzlord,799,Dark,Dragon,['Beast Boost'],223,101,53,97,53,43,"18'01""
","5.5 m
","1957.7 lbs.
","888.0 kg
"
332,Gyarados,130,Water,Flying,"['Intimidate', 'Moxie', 'Mold Breaker']",95,125,79,60,100,81,"21'04""
","6.5 m
","518.1 lbs.
","235.0 kg
"
333,Hakamo-o,783,Dragon,Fighting,"['Bulletproof', 'Soundproof', 'Overcoat']",55,75,90,65,70,65,"3'11""
","1.2 m
","103.6 lbs.
","47.0 kg
"
334,Happiny,440,Normal,Unknown,"['Natural Cure', 'Serene Grace', 'Friend Guard']",100,5,5,15,65,30,"2'00""
","0.6 m
","53.8 lbs.
","24.4 kg
"
335,Hariyama,297,Fighting,Unknown,"['Thick Fat', 'Guts', 'Sheer Force']",144,120,60,40,60,50,"7'07""
","2.3 m
","559.5 lbs.
","253.8 kg
"
336,Hatenna,856,Psychic,Unknown,"['Healer', 'Anticipation', 'Magic Bounce']",42,30,45,56,53,39,"1'04""
","0.4 m
","7.5 lbs.
","3.4 kg
"
337,Hatterene,858,Psychic,Fairy,"['Healer', 'Anticipation', 'Magic Bounce']",57,90,95,136,103,29,"6'11""
","2.1 m
","11.2 lbs.
","5.1 kg
"
338,Hattrem,857,Psychic,Unknown,"['Healer', 'Anticipation', 'Magic Bounce']",57,40,65,86,73,49,"2'00""
","0.6 m
","10.6 lbs.
","4.8 kg
"
339,Haunter,93,Ghost,Poison,['Levitate'],45,50,45,115,55,95,"5'03""
","1.6 m
","0.2 lbs.
","0.1 kg
"
340,Hawlucha,701,Fighting,Flying,"['Limber', 'Unburden', 'Mold Breaker']",78,92,75,74,63,118,"2'07""
","0.8 m
","47.4 lbs.
","21.5 kg
"
341,Haxorus,612,Dragon,Unknown,"['Rivalry', 'Mold Breaker', 'Unnerve']",76,147,90,60,70,97,"5'11""
","1.8 m
","232.6 lbs.
","105.5 kg
"
342,Heatmor,631,Fire,Unknown,"['Gluttony', 'Flash Fire', 'White Smoke']",85,97,66,105,66,65,"4'07""
","1.4 m
","127.9 lbs.
","58.0 kg
"
343,Heatran,485,Fire,Steel,"['Flash Fire', 'Flame Body']",91,90,106,130,106,77,"5'07""
","1.7 m
","948.0 lbs.
","430.0 kg
"
344,Heliolisk,695,Electric,Normal,"['Dry Skin', 'Sand Veil', 'Solar Power']",62,55,52,109,94,109,"3'03""
","1.0 m
","46.3 lbs.
","21.0 kg
"
345,Helioptile,694,Electric,Normal,"['Dry Skin', 'Sand Veil', 'Solar Power']",44,38,33,61,43,70,"1'08""
","0.5 m
","13.2 lbs.
","6.0 kg
"
346,Heracross,214,Bug,Fighting,"['Swarm', 'Guts', 'Moxie', 'Skill Link']",80,125,75,40,95,85,"4'11""
","1.5 m
","119.0 lbs.
","54.0 kg
"
347,Herdier,507,Normal,Unknown,"['Intimidate', 'Sand Rush', 'Scrappy']",65,80,65,35,65,60,"2'11""
","0.9 m
","32.4 lbs.
","14.7 kg
"
348,Hippopotas,449,Ground,Unknown,"['Sand Stream', 'Sand Force']",68,72,78,38,42,32,"2'07""
","0.8 m
","109.1 lbs.
","49.5 kg
"
349,Hippowdon,450,Ground,Unknown,"['Sand Stream', 'Sand Force']",108,112,118,68,72,47,"6'07""
","2.0 m
","661.4 lbs.
","300.0 kg
"
350,Hitmonchan,107,Fighting,Unknown,"['Keen Eye', 'Iron Fist', 'Inner Focus']",50,105,79,35,110,76,"4'07""
","1.4 m
","110.7 lbs.
","50.2 kg
"
351,Hitmonlee,106,Fighting,Unknown,"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87,"4'11""
","1.5 m
","109.8 lbs.
","49.8 kg
"
352,Hitmontop,237,Fighting,Unknown,"['Intimidate', 'Technician', 'Steadfast']",50,95,95,35,110,70,"4'07""
","1.4 m
","105.8 lbs.
","48.0 kg
"
353,Ho-Oh,250,Fire,Flying,"['Pressure', 'Regenerator']",106,130,90,110,154,90,"12'06""
","3.8 m
","438.7 lbs.
","199.0 kg
"
354,Honchkrow,430,Dark,Flying,"['Insomnia', 'Super Luck', 'Moxie']",100,125,52,105,52,71,"2'11""
","0.9 m
","60.2 lbs.
","27.3 kg
"
355,Honedge,679,Steel,Ghost,['No Guard'],45,80,100,35,37,28,"2'07""
","0.8 m
","4.4 lbs.
","2.0 kg
"
356,Hoopa,720,Psychic,Ghost,['Magician'],80,110,60,150,130,70,"1'08""
","0.5 m
","19.8 lbs.
","9.0 kg
"
357,Hoothoot,163,Normal,Flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50,"2'04""
","0.7 m
","46.7 lbs.
","21.2 kg
"
358,Hoppip,187,Grass,Flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,35,40,35,55,50,"1'04""
","0.4 m
","1.1 lbs.
","0.5 kg
"
359,Horsea,116,Water,Unknown,"['Swift Swim', 'Sniper', 'Damp']",30,40,70,70,25,60,"1'04""
","0.4 m
","17.6 lbs.
","8.0 kg
"
360,Houndoom,229,Dark,Fire,"['Early Bird', 'Flash Fire', 'Unnerve', 'Solar Power']",75,90,50,110,80,95,"4'07""
","1.4 m
","77.2 lbs.
","35.0 kg
"
361,Houndour,228,Dark,Fire,"['Early Bird', 'Flash Fire', 'Unnerve']",45,60,30,80,50,65,2'00??,"0.6 m
","23.8 lbs.
","10.8 kg
"
362,Huntail,367,Water,Unknown,"['Swift Swim', 'Water Veil']",55,104,105,94,75,52,"5'07""
","1.7 m
","59.5 lbs.
","27.0 kg
"
363,Hydreigon,635,Dark,Dragon,['Levitate'],92,105,90,125,90,98,"5'11""
","1.8 m
","352.7 lbs.
","160.0 kg
"
364,Hypno,97,Psychic,Unknown,"['Insomnia', 'Forewarn', 'Inner Focus']",85,73,70,73,115,67,"5'03""
","1.6 m
","166.7 lbs.
","75.6 kg
"
365,Igglybuff,174,Normal,Fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",90,30,15,40,20,15,"1'00""
","0.3 m
","2.2 lbs.
","1.0 kg
"
366,Illumise,314,Bug,Unknown,"['Oblivious', 'Tinted Lens', 'Prankster']",65,47,55,73,75,85,"2'00""
","0.6 m
","39.0 lbs.
","17.7 kg
"
367,Impidimp,859,Dark,Fairy,"['Prankster', 'Frisk', 'Pickpocket']",45,45,30,55,40,50,"1'04""
","0.4 m
","12.1 lbs.
","5.5 kg
"
368,Incineroar,727,Fire,Dark,"['Blaze', 'Intimidate']",95,115,90,80,90,60,"5'11""
","1.8 m
","183.0 lbs.
","83.0 kg
"
369,Indeedee,876,Psychic,Normal,"['Inner Focus', 'Synchronize', 'Own Tempo', 'Synchronize', 'Psychic Surge']",60,65,55,105,95,95,"2'11""
","0.9 m
","61.7 lbs.
","28.0 kg
"
370,Infernape,392,Fire,Fighting,"['Blaze', 'Iron Fist']",76,104,71,104,71,108,"3'11""
","1.2 m
","121.3 lbs.
","55.0 kg
"
371,Inkay,686,Dark,Psychic,"['Contrary', 'Suction Cups', 'Infiltrator']",53,54,53,37,46,45,"1'04""
","0.4 m
","7.7 lbs.
","3.5 kg
"
372,Inteleon,818,Water,Unknown,"['Torrent', 'Sniper']",70,85,65,125,65,120,"6'03""
","1.9 m
","99.6 lbs.
","45.2 kg
"
373,Ivysaur,2,Grass,Poison,"['Overgrow', 'Chlorophyll']",60,62,63,80,80,60,"3'03""
","1.0 m
","28.7 lbs.
","13.0 kg
"
374,Jangmo-o,782,Dragon,Unknown,"['Bulletproof', 'Soundproof', 'Overcoat']",45,55,65,45,45,45,"2'00""
","0.6 m
","65.5 lbs.
","29.7 kg
"
375,Jellicent,593,Water,Ghost,"['Water Absorb', 'Cursed Body', 'Damp']",100,60,70,85,105,60,"7'03""
","2.2 m
","297.6 lbs.
","135.0 kg
"
376,Jigglypuff,39,Normal,Fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",115,45,20,45,25,20,"1'08""
","0.5 m
","12.1 lbs.
","5.5 kg
"
377,Jirachi,385,Steel,Psychic,['Serene Grace'],100,100,100,100,100,100,"1'00""
","0.3 m
","2.4 lbs.
","1.1 kg
"
378,Jolteon,135,Electric,Unknown,"['Volt Absorb', 'Quick Feet']",65,65,60,110,95,130,"2'07""
","0.8 m
","54.0 lbs.
","24.5 kg
"
379,Joltik,595,Bug,Electric,"['Compound Eyes', 'Unnerve', 'Swarm']",50,47,50,57,50,65,"0'04""
","0.1 m
","1.3 lbs.
","0.6 kg
"
380,Jumpluff,189,Grass,Flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",75,55,70,55,85,110,"2'07""
","0.8 m
","6.6 lbs.
","3.0 kg
"
381,Jynx,124,Ice,Psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",65,50,35,115,95,95,"4'07""
","1.4 m
","89.5 lbs.
","40.6 kg
"
382,Kabuto,140,Rock,Water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",30,80,90,55,45,55,"1'08""
","0.5 m
","25.4 lbs.
","11.5 kg
"
383,Kabutops,141,Rock,Water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",60,115,105,65,70,80,"4'03""
","1.3 m
","89.3 lbs.
","40.5 kg
"
384,Kadabra,64,Psychic,Unknown,"['Synchronize', 'Inner Focus', 'Magic Guard']",40,35,30,120,70,105,"4'03""
","1.3 m
","124.6 lbs.
","56.5 kg
"
385,Kakuna,14,Bug,Poison,['Shed Skin'],45,25,50,25,25,35,"2'00""
","0.6 m
","22.0 lbs.
","10.0 kg
"
386,Kangaskhan,115,Normal,Unknown,"['Early Bird', 'Scrappy', 'Inner Focus', 'Parental Bond']",105,95,80,40,80,90,"7'03""
","2.2 m
","176.4 lbs.
","80.0 kg
"
387,Karrablast,588,Bug,Unknown,"['Swarm', 'Shed Skin', 'No Guard']",50,75,45,40,45,60,"1'08""
","0.5 m
","13.0 lbs.
","5.9 kg
"
388,Kartana,798,Grass,Steel,['Beast Boost'],59,181,131,59,31,109,"1'00""
","0.3 m
","0.2 lbs.
","0.1 kg
"
389,Kecleon,352,Normal,Unknown,"['Color Change', 'Protean']",60,90,70,60,120,40,"3'03""
","1.0 m
","48.5 lbs.
","22.0 kg
"
390,Keldeo,647,Water,Fighting,['Justified'],91,72,90,129,90,108,"4'07""
","1.4 m
","106.9 lbs.
","48.5 kg
"
391,Kingdra,230,Water,Dragon,"['Swift Swim', 'Sniper', 'Damp']",75,95,95,95,95,85,5'11??,"1.8 m
","335.1 lbs.
","152.0 kg
"
392,Kingler,99,Water,Unknown,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",55,130,115,50,50,75,"4'03""
","1.3 m
","132.3 lbs.
","60.0 kg
"
393,Kirlia,281,Psychic,Fairy,"['Synchronize', 'Trace', 'Telepathy']",38,35,35,65,55,50,"2'07""
","0.8 m
","44.5 lbs.
","20.2 kg
"
394,Klang,600,Steel,Unknown,"['Plus', 'Minus', 'Clear Body']",60,80,95,70,85,50,"2'00""
","0.6 m
","112.4 lbs.
","51.0 kg
"
395,Kleavor,900,Bug,Rock,"['Swarm', 'Sheer Force', 'Steadfast']",70,135,95,45,70,85,"5'11""
","1.8 m
","196.2 lbs.
","89.0 kg
"
396,Klefki,707,Steel,Fairy,"['Prankster', 'Magician']",57,80,91,80,87,75,"0'08""
","0.2 m
","6.6 lbs.
","3.0 kg
"
397,Klink,599,Steel,Unknown,"['Plus', 'Minus', 'Clear Body']",40,55,70,45,60,30,"1'00""
","0.3 m
","46.3 lbs.
","21.0 kg
"
398,Klinklang,601,Steel,Unknown,"['Plus', 'Minus', 'Clear Body']",60,100,115,70,85,90,"2'00""
","0.6 m
","178.6 lbs.
","81.0 kg
"
399,Koffing,109,Poison,Unknown,"['Levitate', 'Neutralizing Gas', 'Stench']",40,65,95,60,45,35,"2'00""
","0.6 m
","2.2 lbs.
","1.0 kg
"
400,Komala,775,Normal,Unknown,['Comatose'],65,115,65,75,95,65,"1'04""
","0.4 m
","43.9 lbs.
","19.9 kg
"
401,Kommo-o,784,Dragon,Fighting,"['Bulletproof', 'Soundproof', 'Overcoat']",75,110,125,100,105,85,"5'03""
","1.6 m
","172.4 lbs.
","78.2 kg
"
402,Krabby,98,Water,Unknown,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",30,105,90,25,25,50,"1'04""
","0.4 m
","14.3 lbs.
","6.5 kg
"
403,Kricketot,401,Bug,Unknown,"['Shed Skin', 'Run Away']",37,25,41,25,41,25,"1'00""
","0.3 m
","4.9 lbs.
","2.2 kg
"
404,Kricketune,402,Bug,Unknown,"['Swarm', 'Technician']",77,85,51,55,51,65,"3'03""
","1.0 m
","56.2 lbs.
","25.5 kg
"
405,Krokorok,552,Ground,Dark,"['Intimidate', 'Moxie', 'Anger Point']",60,82,45,45,45,74,"3'03""
","1.0 m
","73.6 lbs.
","33.4 kg
"
406,Krookodile,553,Ground,Dark,"['Intimidate', 'Moxie', 'Anger Point']",95,117,70,65,70,92,"4'11""
","1.5 m
","212.3 lbs.
","96.3 kg
"
407,Kubfu,891,Fighting,Unknown,['Inner Focus'],60,90,60,53,50,72,"2'00""
","0.6 m
","26.5 lbs.
","12.0 kg
"
408,Kyogre,382,Water,Unknown,"['Drizzle', 'Primordial Sea']",100,100,90,150,140,90,"14'09""
","4.5 m
","776.0 lbs.
","352.0 kg
"
409,Kyurem,646,Dragon,Ice,"['Pressure', 'Turboblaze', 'Teravolt']",125,130,90,130,90,95,"9'10""
","3.0 m
","716.5 lbs.
","325.0 kg
"
410,Lairon,305,Steel,Rock,"['Sturdy', 'Rock Head', 'Heavy Metal']",60,90,140,50,50,40,"2'11""
","0.9 m
","264.6 lbs.
","120.0 kg
"
411,Lampent,608,Ghost,Fire,"['Flash Fire', 'Flame Body', 'Infiltrator']",60,40,60,95,60,55,"2'00""
","0.6 m
","28.7 lbs.
","13.0 kg
"
412,Landorus,645,Ground,Flying,"['Sand Force', 'Intimidate', 'Sheer Force']",89,125,90,115,80,101,"4'11""
","1.5 m
","149.9 lbs.
","68.0 kg
"
413,Lanturn,171,Water,Electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",125,58,58,76,76,67,"3'11""
","1.2 m
","49.6 lbs.
","22.5 kg
"
414,Lapras,131,Water,Ice,"['Water Absorb', 'Shell Armor', 'Hydration']",130,85,80,85,95,60,"8'02""
","2.5 m
","485.0 lbs.
","220.0 kg
"
415,Larvesta,636,Bug,Fire,"['Flame Body', 'Swarm']",55,85,55,50,55,60,"3'07""
","1.1 m
","63.5 lbs.
","28.8 kg
"
416,Larvitar,246,Rock,Ground,"['Guts', 'Sand Veil']",50,64,50,45,50,41,"2'00""
","0.6 m
","158.7 lbs.
","72.0 kg
"
417,Latias,380,Dragon,Psychic,['Levitate'],80,80,90,110,130,110,"4'07""
","1.4 m
","88.2 lbs.
","40.0 kg
"
418,Latios,381,Dragon,Psychic,['Levitate'],80,90,80,130,110,110,"6'07""
","2.0 m
","132.3 lbs.
","60.0 kg
"
419,Leafeon,470,Grass,Unknown,"['Leaf Guard', 'Chlorophyll']",65,110,130,60,65,95,"3'03""
","1.0 m
","56.2 lbs.
","25.5 kg
"
420,Leavanny,542,Bug,Grass,"['Swarm', 'Chlorophyll', 'Overcoat']",75,103,80,70,70,92,"3'11""
","1.2 m
","45.2 lbs.
","20.5 kg
"
421,Ledian,166,Bug,Flying,"['Swarm', 'Early Bird', 'Iron Fist']",55,35,50,55,110,85,"4'07""
","1.4 m
","78.5 lbs.
","35.6 kg
"
422,Ledyba,165,Bug,Flying,"['Swarm', 'Early Bird', 'Rattled']",40,20,30,40,80,55,"3'03""
","1.0 m
","23.8 lbs.
","10.8 kg
"
423,Lickilicky,463,Normal,Unknown,"['Own Tempo', 'Oblivious', 'Cloud Nine']",110,85,95,80,95,50,"5'07""
","1.7 m
","308.6 lbs.
","140.0 kg
"
424,Lickitung,108,Normal,Unknown,"['Own Tempo', 'Oblivious', 'Cloud Nine']",90,55,75,60,75,30,"3'11""
","1.2 m
","144.4 lbs.
","65.5 kg
"
425,Liepard,510,Dark,Unknown,"['Limber', 'Unburden', 'Prankster']",64,88,50,88,50,106,"3'07""
","1.1 m
","82.7 lbs.
","37.5 kg
"
426,Lileep,345,Rock,Grass,"['Suction Cups', 'Storm Drain']",66,41,77,61,87,23,"3'03""
","1.0 m
","52.5 lbs.
","23.8 kg
"
427,Lilligant,549,Grass,Unknown,"['Chlorophyll', 'Own Tempo', 'Chlorophyll', 'Hustle', 'Leaf Guard']",70,60,75,110,75,90,"3'07""
","1.1 m
","35.9 lbs.
","16.3 kg
"
428,Lillipup,506,Normal,Unknown,"['Vital Spirit', 'Pickup', 'Run Away']",45,60,45,25,45,55,"1'04""
","0.4 m
","9.0 lbs.
","4.1 kg
"
429,Linoone,264,Normal,Unknown,"['Pickup', 'Gluttony', 'Quick Feet']",78,70,61,50,61,100,"1'08""
","0.5 m
","71.7 lbs.
","32.5 kg
"
430,Litleo,667,Fire,Normal,"['Rivalry', 'Unnerve', 'Moxie']",62,50,58,73,54,72,"2'00""
","0.6 m
","29.8 lbs.
","13.5 kg
"
431,Litten,725,Fire,Unknown,"['Blaze', 'Intimidate']",45,65,40,60,40,70,"1'04""
","0.4 m
","9.5 lbs.
","4.3 kg
"
432,Litwick,607,Ghost,Fire,"['Flash Fire', 'Flame Body', 'Infiltrator']",50,30,55,65,55,20,"1'00""
","0.3 m
","6.8 lbs.
","3.1 kg
"
433,Lombre,271,Water,Grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",60,50,50,60,70,50,"3'11""
","1.2 m
","71.7 lbs.
","32.5 kg
"
434,Lopunny,428,Normal,Unknown,"['Cute Charm', 'Klutz', 'Limber', 'Scrappy']",65,76,84,54,96,105,"3'11""
","1.2 m
","73.4 lbs.
","33.3 kg
"
435,Lotad,270,Water,Grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",40,30,30,40,50,30,"1'08""
","0.5 m
","5.7 lbs.
","2.6 kg
"
436,Loudred,294,Normal,Unknown,"['Soundproof', 'Scrappy']",84,71,43,71,43,48,"3'03""
","1.0 m
","89.3 lbs.
","40.5 kg
"
437,Lucario,448,Fighting,Steel,"['Steadfast', 'Inner Focus', 'Justified', 'Adaptability']",70,110,70,115,70,90,"3'11""
","1.2 m
","119.0 lbs.
","54.0 kg
"
438,Ludicolo,272,Water,Grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",80,70,70,90,100,70,"4'11""
","1.5 m
","121.3 lbs.
","55.0 kg
"
439,Lugia,249,Psychic,Flying,"['Pressure', 'Multiscale']",106,90,130,90,154,110,"17'01""
","5.2 m
","476.2 lbs.
","216.0 kg
"
440,Lumineon,457,Water,Unknown,"['Swift Swim', 'Storm Drain', 'Water Veil']",69,69,76,69,86,91,"3'11""
","1.2 m
","52.9 lbs.
","24.0 kg
"
441,Lunala,792,Psychic,Ghost,['Shadow Shield'],137,113,89,137,107,97,"13'01""
","4.0 m
","264.6 lbs.
","120.0 kg
"
442,Lunatone,337,Rock,Psychic,['Levitate'],70,55,65,95,85,70,"3'03""
","1.0 m
","370.4 lbs.
","168.0 kg
"
443,Lurantis,754,Grass,Unknown,"['Leaf Guard', 'Contrary']",70,105,90,80,90,45,"2'11""
","0.9 m
","40.8 lbs.
","18.5 kg
"
444,Luvdisc,370,Water,Unknown,"['Swift Swim', 'Hydration']",43,30,55,40,65,97,"2'00""
","0.6 m
","19.2 lbs.
","8.7 kg
"
445,Luxio,404,Electric,Unknown,"['Rivalry', 'Intimidate', 'Guts']",60,85,49,60,49,60,"2'11""
","0.9 m
","67.2 lbs.
","30.5 kg
"
446,Luxray,405,Electric,Unknown,"['Rivalry', 'Intimidate', 'Guts']",80,120,79,95,79,70,"4'07""
","1.4 m
","92.6 lbs.
","42.0 kg
"
447,Lycanroc,745,Rock,Unknown,"['Keen Eye', 'Sand Rush', 'Keen Eye', 'Vital Spirit', 'Steadfast', 'No Guard']",75,115,65,55,65,112,"2'07""
","0.8 m
","55.1 lbs.
","25.0 kg
"
448,Machamp,68,Fighting,Unknown,"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55,"5'03""
","1.6 m
","286.6 lbs.
","130.0 kg
"
449,Machoke,67,Fighting,Unknown,"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45,"4'11""
","1.5 m
","155.4 lbs.
","70.5 kg
"
450,Machop,66,Fighting,Unknown,"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35,"2'07""
","0.8 m
","43.0 lbs.
","19.5 kg
"
451,Magby,240,Fire,Unknown,"['Flame Body', 'Vital Spirit']",45,75,37,70,55,83,"2'04""
","0.7 m
","47.2 lbs.
","21.4 kg
"
452,Magcargo,219,Fire,Rock,"['Magma Armor', 'Flame Body', 'Weak Armor']",50,50,120,80,80,30,"2'07""
","0.8 m
","121.3 lbs.
","55.0 kg
"
453,Magearna,801,Steel,Fairy,['Soul-Heart'],80,95,115,130,115,65,"3'03""
","1.0 m
","177.5 lbs.
","80.5 kg
"
454,Magikarp,129,Water,Unknown,"['Swift Swim', 'Rattled']",20,10,55,15,20,80,"2'11""
","0.9 m
","22.0 lbs.
","10.0 kg
"
455,Magmar,126,Fire,Unknown,"['Flame Body', 'Vital Spirit']",65,95,57,100,85,93,"4'03""
","1.3 m
","98.1 lbs.
","44.5 kg
"
456,Magmortar,467,Fire,Unknown,"['Flame Body', 'Vital Spirit']",75,95,67,125,95,83,"5'03""
","1.6 m
","149.9 lbs.
","68.0 kg
"
457,Magnemite,81,Electric,Steel,"['Magnet Pull', 'Sturdy', 'Analytic']",25,35,70,95,55,45,"1'00""
","0.3 m
","13.2 lbs.
","6.0 kg
"
458,Magneton,82,Electric,Steel,"['Magnet Pull', 'Sturdy', 'Analytic']",50,60,95,120,70,70,"3'03""
","1.0 m
","132.3 lbs.
","60.0 kg
"
459,Magnezone,462,Electric,Steel,"['Magnet Pull', 'Sturdy', 'Analytic']",70,70,115,130,90,60,"3'11""
","1.2 m
","396.8 lbs.
","180.0 kg
"
460,Makuhita,296,Fighting,Unknown,"['Thick Fat', 'Guts', 'Sheer Force']",72,60,30,20,30,25,"3'03""
","1.0 m
","190.5 lbs.
","86.4 kg
"
461,Malamar,687,Dark,Psychic,"['Contrary', 'Suction Cups', 'Infiltrator']",86,92,88,68,75,73,"4'11""
","1.5 m
","103.6 lbs.
","47.0 kg
"
462,Mamoswine,473,Ice,Ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",110,130,80,70,60,80,"8'02""
","2.5 m
","641.5 lbs.
","291.0 kg
"
463,Manaphy,490,Water,Unknown,['Hydration'],100,100,100,100,100,100,"1'00""
","0.3 m
","3.1 lbs.
","1.4 kg
"
464,Mandibuzz,630,Dark,Flying,"['Big Pecks', 'Overcoat', 'Weak Armor']",110,65,105,55,95,80,"3'11""
","1.2 m
","87.1 lbs.
","39.5 kg
"
465,Manectric,310,Electric,Unknown,"['Static', 'Lightning Rod', 'Minus', 'Intimidate']",70,75,60,105,60,105,"4'11""
","1.5 m
","88.6 lbs.
","40.2 kg
"
466,Mankey,56,Fighting,Unknown,"['Vital Spirit', 'Anger Point', 'Defiant']",40,80,35,35,45,70,"1'08""
","0.5 m
","61.7 lbs.
","28.0 kg
"
467,Mantine,226,Water,Flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",65,40,70,80,140,70,"6'11""
","2.1 m
","485.0 lbs.
","220.0 kg
"
468,Mantyke,458,Water,Flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",45,20,50,60,120,50,"3'03""
","1.0 m
","143.3 lbs.
","65.0 kg
"
469,Maractus,556,Grass,Unknown,"['Water Absorb', 'Chlorophyll', 'Storm Drain']",75,86,67,106,67,60,"3'03""
","1.0 m
","61.7 lbs.
","28.0 kg
"
470,Mareanie,747,Poison,Water,"['Merciless', 'Limber', 'Regenerator']",50,53,62,43,52,45,"1'04""
","0.4 m
","17.6 lbs.
","8.0 kg
"
471,Mareep,179,Electric,Unknown,"['Static', 'Plus']",55,40,40,65,45,35,"2'00""
","0.6 m
","17.2 lbs.
","7.8 kg
"
472,Marill,183,Water,Fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",70,20,50,20,50,40,"1'04""
","0.4 m
","18.7 lbs.
","8.5 kg
"
473,Marowak,105,Ground,Unknown,"['Rock Head', 'Lightning Rod', 'Cursed Body', 'Lightning Rod', 'Battle Armor', 'Rock Head']",60,80,110,50,80,45,"3'03""
","1.0 m
","99.2 lbs.
","45.0 kg
"
474,Marshadow,802,Fighting,Ghost,['Technician'],90,125,80,90,90,125,"2'04""
","0.7 m
","48.9 lbs.
","22.2 kg
"
475,Marshtomp,259,Water,Ground,"['Torrent', 'Damp']",70,85,70,60,70,50,"2'04""
","0.7 m
","61.7 lbs.
","28.0 kg
"
476,Masquerain,284,Bug,Flying,"['Intimidate', 'Unnerve']",70,60,62,80,82,60,"2'07""
","0.8 m
","7.9 lbs.
","3.6 kg
"
477,Mawile,303,Steel,Fairy,"['Hyper Cutter', 'Intimidate', 'Sheer Force', 'Huge Power']",50,85,85,55,55,50,"2'00""
","0.6 m
","25.4 lbs.
","11.5 kg
"
478,Medicham,308,Fighting,Psychic,"['Pure Power', 'Telepathy', 'Pure Power']",60,60,75,60,75,80,"4'03""
","1.3 m
","69.4 lbs.
","31.5 kg
"
479,Meditite,307,Fighting,Psychic,"['Pure Power', 'Telepathy']",30,40,55,40,55,60,"2'00""
","0.6 m
","24.7 lbs.
","11.2 kg
"
480,Meganium,154,Grass,Unknown,"['Overgrow', 'Leaf Guard']",80,82,100,83,100,80,"5'11""
","1.8 m
","221.6 lbs.
","100.5 kg
"
481,Melmetal,809,Steel,Unknown,['Iron Fist'],135,143,143,80,65,34,"8'02""
","2.5 m
","1763.7 lbs.
","800.0 kg
"
482,Meloetta,648,Normal,Psychic,['Serene Grace'],100,77,77,128,128,90,"2'00""
","0.6 m
","14.3 lbs.
","6.5 kg
"
483,Meltan,808,Steel,Unknown,['Magnet Pull'],46,65,65,55,35,34,"0'08""
","0.2 m
","17.6 lbs.
","8.0 kg
"
484,Meowstic,678,Psychic,Unknown,"['Keen Eye', 'Infiltrator', 'Prankster', 'Competitive']",74,48,76,83,81,104,"2'00""
","0.6 m
","18.7 lbs.
","8.5 kg
"
485,Meowth,52,Normal,Unknown,"['Pickup', 'Technician', 'Pickup', 'Tough Claws', 'Unnerve', 'Rattled']",40,45,35,40,40,90,"1'04""
","0.4 m
","9.3 lbs.
","4.2 kg
"
486,Mesprit,481,Psychic,Unknown,['Levitate'],80,105,105,105,105,80,"1'00""
","0.3 m
","0.7 lbs.
","0.3 kg
"
